  184,000/640,219 | G:180,548 P:3,452 | 121/s | ETA: 63m
  186,000/640,219 | G:182,547 P:3,453 | 121/s | ETA: 62m
  188,000/640,219 | G:184,546 P:3,454 | 122/s | ETA: 62m
  190,000/640,219 | G:186,545 P:3,455 | 122/s | ETA: 61m
  192,000/640,219 | G:188,542 P:3,458 | 123/s | ETA: 61m
  194,000/640,219 | G:190,540 P:3,460 | 123/s | ETA: 60m
  196,000/640,219 | G:192,509 P:3,491 | 124/s | ETA: 60m
  198,000/640,219 | G:194,474 P:3,526 | 124/s | ETA: 59m
  200,000/640,219 | G:196,450 P:3,550 | 125/s | ETA: 59m
  202,000/640,219 | G:198,424 P:3,576 | 125/s | ETA: 59m
  204,000/640,219 | G:200,399 P:3,601 | 125/s | ETA: 58m
  206,000/640,219 | G:202,376 P:3,624 | 125/s | ETA: 58m
  208,000/640,219 | G:204,341 P:3,659 | 126/s | ETA: 57m
  210,000/640,219 | G:206,307 P:3,693 | 126/s | ETA: 57m
  212,000/640,219 | G:208,301 P:3,699 | 126/s | ETA: 56m
  214,000/640,219 | G:210,265 P:3,735 | 127/s | ETA: 56m
  216,000/640,219 | G:212,210 P:3,790 | 127/s | ETA: 56m
  218,000/640,219 | G:214,166 P:3,834 | 127/s | ETA: 55m
  220,000/640,219 | G:216,099 P:3,901 | 127/s | ETA: 55m
  222,000/640,219 | G:218,029 P:3,971 | 128/s | ETA: 55m
  224,000/640,219 | G:219,966 P:4,034 | 128/s | ETA: 54m
  226,000/640,219 | G:221,918 P:4,082 | 128/s | ETA: 54m
  228,000/640,219 | G:223,874 P:4,126 | 129/s | ETA: 53m
  230,000/640,219 | G:225,793 P:4,207 | 126/s | ETA: 54m
  232,000/640,219 | G:227,770 P:4,230 | 126/s | ETA: 54m
  234,000/640,219 | G:229,696 P:4,304 | 126/s | ETA: 54m
  236,000/640,219 | G:231,621 P:4,379 | 118/s | ETA: 57m
  238,000/640,219 | G:233,548 P:4,452 | 118/s | ETA: 57m
  240,000/640,219 | G:235,455 P:4,545 | 118/s | ETA: 56m
  242,000/640,219 | G:237,414 P:4,586 | 119/s | ETA: 56m
  244,000/640,219 | G:239,353 P:4,647 | 119/s | ETA: 56m
  246,000/640,219 | G:241,295 P:4,705 | 119/s | ETA: 55m
  248,000/640,219 | G:243,222 P:4,778 | 119/s | ETA: 55m
  250,000/640,219 | G:245,174 P:4,826 | 120/s | ETA: 54m
  252,000/640,219 | G:247,148 P:4,852 | 120/s | ETA: 54m
  254,000/640,219 | G:249,086 P:4,914 | 120/s | ETA: 54m
  256,000/640,219 | G:251,062 P:4,938 | 120/s | ETA: 53m
  258,000/640,219 | G:253,016 P:4,984 | 121/s | ETA: 53m
  260,000/640,219 | G:254,993 P:5,007 | 121/s | ETA: 52m
  262,000/640,219 | G:256,933 P:5,067 | 121/s | ETA: 52m
  264,000/640,219 | G:258,879 P:5,121 | 121/s | ETA: 52m
  266,000/640,219 | G:260,855 P:5,145 | 122/s | ETA: 51m
  268,000/640,219 | G:262,793 P:5,207 | 122/s | ETA: 51m
  270,000/640,219 | G:264,758 P:5,242 | 122/s | ETA: 50m
  272,000/640,219 | G:266,751 P:5,249 | 122/s | ETA: 50m
  274,000/640,219 | G:268,738 P:5,262 | 123/s | ETA: 50m
  276,000/640,219 | G:270,738 P:5,262 | 123/s | ETA: 49m
  278,000/640,219 | G:272,738 P:5,262 | 123/s | ETA: 49m
  280,000/640,219 | G:274,738 P:5,262 | 123/s | ETA: 49m
  282,000/640,219 | G:276,738 P:5,262 | 124/s | ETA: 48m
  284,000/640,219 | G:278,738 P:5,262 | 124/s | ETA: 48m
  286,000/640,219 | G:280,738 P:5,262 | 124/s | ETA: 48m
  288,000/640,219 | G:282,738 P:5,262 | 124/s | ETA: 47m
  290,000/640,219 | G:284,738 P:5,262 | 124/s | ETA: 47m
  292,000/640,219 | G:286,738 P:5,262 | 125/s | ETA: 47m
  294,000/640,219 | G:288,738 P:5,262 | 125/s | ETA: 46m
  296,000/640,219 | G:290,738 P:5,262 | 125/s | ETA: 46m
  298,000/640,219 | G:292,738 P:5,262 | 125/s | ETA: 46m
  300,000/640,219 | G:294,738 P:5,262 | 125/s | ETA: 45m
  302,000/640,219 | G:296,738 P:5,262 | 126/s | ETA: 45m
  304,000/640,219 | G:298,738 P:5,262 | 126/s | ETA: 45m
  306,000/640,219 | G:300,737 P:5,263 | 126/s | ETA: 44m
  308,000/640,219 | G:302,735 P:5,265 | 126/s | ETA: 44m
  310,000/640,219 | G:304,735 P:5,265 | 126/s | ETA: 44m
  312,000/640,219 | G:306,735 P:5,265 | 126/s | ETA: 43m
  314,000/640,219 | G:308,735 P:5,265 | 127/s | ETA: 43m
  316,000/640,219 | G:310,735 P:5,265 | 127/s | ETA: 43m
  318,000/640,219 | G:312,735 P:5,265 | 127/s | ETA: 42m
  320,000/640,219 | G:314,735 P:5,265 | 127/s | ETA: 42m
  322,000/640,219 | G:316,735 P:5,265 | 127/s | ETA: 42m
  324,000/640,219 | G:318,735 P:5,265 | 128/s | ETA: 41m
  326,000/640,219 | G:320,735 P:5,265 | 128/s | ETA: 41m
  328,000/640,219 | G:322,735 P:5,265 | 128/s | ETA: 41m
  330,000/640,219 | G:324,735 P:5,265 | 128/s | ETA: 40m
  332,000/640,219 | G:326,735 P:5,265 | 128/s | ETA: 40m
  334,000/640,219 | G:328,735 P:5,265 | 128/s | ETA: 40m
  336,000/640,219 | G:330,735 P:5,265 | 129/s | ETA: 39m
  338,000/640,219 | G:332,735 P:5,265 | 129/s | ETA: 39m
  340,000/640,219 | G:334,735 P:5,265 | 129/s | ETA: 39m
  342,000/640,219 | G:336,735 P:5,265 | 129/s | ETA: 38m
  344,000/640,219 | G:338,735 P:5,265 | 129/s | ETA: 38m
  346,000/640,219 | G:340,735 P:5,265 | 129/s | ETA: 38m
  348,000/640,219 | G:342,735 P:5,265 | 130/s | ETA: 38m
  350,000/640,219 | G:344,735 P:5,265 | 130/s | ETA: 37m
  352,000/640,219 | G:346,735 P:5,265 | 130/s | ETA: 37m
  354,000/640,219 | G:348,735 P:5,265 | 130/s | ETA: 37m
  356,000/640,219 | G:350,734 P:5,266 | 130/s | ETA: 36m
  358,000/640,219 | G:352,733 P:5,267 | 130/s | ETA: 36m
  360,000/640,219 | G:354,732 P:5,268 | 130/s | ETA: 36m
  362,000/640,219 | G:356,732 P:5,268 | 130/s | ETA: 36m
  364,000/640,219 | G:358,732 P:5,268 | 130/s | ETA: 35m
  366,000/640,219 | G:360,732 P:5,268 | 131/s | ETA: 35m
  368,000/640,219 | G:362,732 P:5,268 | 131/s | ETA: 35m
  370,000/640,219 | G:364,732 P:5,268 | 131/s | ETA: 34m
  372,000/640,219 | G:366,732 P:5,268 | 131/s | ETA: 34m
  374,000/640,219 | G:368,732 P:5,268 | 131/s | ETA: 34m
  376,000/640,219 | G:370,732 P:5,268 | 131/s | ETA: 34m
  378,000/640,219 | G:372,732 P:5,268 | 131/s | ETA: 33m
  380,000/640,219 | G:374,732 P:5,268 | 131/s | ETA: 33m
  382,000/640,219 | G:376,732 P:5,268 | 131/s | ETA: 33m
  384,000/640,219 | G:378,730 P:5,270 | 131/s | ETA: 33m
  386,000/640,219 | G:380,729 P:5,271 | 132/s | ETA: 32m
  388,000/640,219 | G:382,729 P:5,271 | 131/s | ETA: 32m
  390,000/640,219 | G:384,728 P:5,272 | 132/s | ETA: 32m
  392,000/640,219 | G:386,728 P:5,272 | 132/s | ETA: 31m
  394,000/640,219 | G:388,728 P:5,272 | 132/s | ETA: 31m
  396,000/640,219 | G:390,728 P:5,272 | 132/s | ETA: 31m
  398,000/640,219 | G:392,728 P:5,272 | 132/s | ETA: 31m
  400,000/640,219 | G:394,721 P:5,279 | 132/s | ETA: 30m
  402,000/640,219 | G:396,721 P:5,279 | 132/s | ETA: 30m
  404,000/640,219 | G:398,721 P:5,279 | 132/s | ETA: 30m
  406,000/640,219 | G:400,721 P:5,279 | 132/s | ETA: 29m
  408,000/640,219 | G:402,721 P:5,279 | 133/s | ETA: 29m
  410,000/640,219 | G:404,721 P:5,279 | 133/s | ETA: 29m
  412,000/640,219 | G:406,721 P:5,279 | 133/s | ETA: 29m
  414,000/640,219 | G:408,721 P:5,279 | 133/s | ETA: 28m
  416,000/640,219 | G:410,721 P:5,279 | 133/s | ETA: 28m
  418,000/640,219 | G:412,721 P:5,279 | 133/s | ETA: 28m
  420,000/640,219 | G:414,721 P:5,279 | 133/s | ETA: 28m
  422,000/640,219 | G:416,721 P:5,279 | 133/s | ETA: 27m
  424,000/640,219 | G:418,721 P:5,279 | 133/s | ETA: 27m
  426,000/640,219 | G:420,721 P:5,279 | 133/s | ETA: 27m
  428,000/640,219 | G:422,721 P:5,279 | 133/s | ETA: 27m
  430,000/640,219 | G:424,721 P:5,279 | 133/s | ETA: 26m
  432,000/640,219 | G:426,721 P:5,279 | 133/s | ETA: 26m
  434,000/640,219 | G:428,720 P:5,280 | 134/s | ETA: 26m
  436,000/640,219 | G:430,720 P:5,280 | 134/s | ETA: 25m
  438,000/640,219 | G:432,720 P:5,280 | 134/s | ETA: 25m
  440,000/640,219 | G:434,720 P:5,280 | 134/s | ETA: 25m
  442,000/640,219 | G:436,720 P:5,280 | 134/s | ETA: 25m
  444,000/640,219 | G:438,720 P:5,280 | 134/s | ETA: 24m
  446,000/640,219 | G:440,720 P:5,280 | 134/s | ETA: 24m
  448,000/640,219 | G:442,719 P:5,281 | 134/s | ETA: 24m
  450,000/640,219 | G:444,719 P:5,281 | 134/s | ETA: 24m
  452,000/640,219 | G:446,719 P:5,281 | 134/s | ETA: 23m
  454,000/640,219 | G:448,719 P:5,281 | 134/s | ETA: 23m
  456,000/640,219 | G:450,718 P:5,282 | 134/s | ETA: 23m
  458,000/640,219 | G:452,718 P:5,282 | 134/s | ETA: 23m
  460,000/640,219 | G:454,718 P:5,282 | 134/s | ETA: 22m
  462,000/640,219 | G:456,718 P:5,282 | 134/s | ETA: 22m
  464,000/640,219 | G:458,718 P:5,282 | 134/s | ETA: 22m
  466,000/640,219 | G:460,718 P:5,282 | 134/s | ETA: 22m
  468,000/640,219 | G:462,718 P:5,282 | 135/s | ETA: 21m
  470,000/640,219 | G:464,717 P:5,283 | 135/s | ETA: 21m
  472,000/640,219 | G:466,717 P:5,283 | 135/s | ETA: 21m
  474,000/640,219 | G:468,717 P:5,283 | 135/s | ETA: 21m
  476,000/640,219 | G:470,717 P:5,283 | 135/s | ETA: 20m
  478,000/640,219 | G:472,717 P:5,283 | 135/s | ETA: 20m
  480,000/640,219 | G:474,717 P:5,283 | 135/s | ETA: 20m
  482,000/640,219 | G:476,717 P:5,283 | 135/s | ETA: 19m
  484,000/640,219 | G:478,717 P:5,283 | 135/s | ETA: 19m
  486,000/640,219 | G:480,717 P:5,283 | 135/s | ETA: 19m
  488,000/640,219 | G:482,717 P:5,283 | 136/s | ETA: 19m
  490,000/640,219 | G:484,717 P:5,283 | 136/s | ETA: 18m
  492,000/640,219 | G:486,717 P:5,283 | 136/s | ETA: 18m
  494,000/640,219 | G:488,717 P:5,283 | 136/s | ETA: 18m
  496,000/640,219 | G:490,717 P:5,283 | 136/s | ETA: 18m
  498,000/640,219 | G:492,717 P:5,283 | 136/s | ETA: 17m
  500,000/640,219 | G:494,717 P:5,283 | 136/s | ETA: 17m
  502,000/640,219 | G:496,717 P:5,283 | 136/s | ETA: 17m
  504,000/640,219 | G:498,717 P:5,283 | 136/s | ETA: 17m
  506,000/640,219 | G:500,717 P:5,283 | 136/s | ETA: 16m
  508,000/640,219 | G:502,717 P:5,283 | 136/s | ETA: 16m
  510,000/640,219 | G:504,717 P:5,283 | 136/s | ETA: 16m
  512,000/640,219 | G:506,717 P:5,283 | 137/s | ETA: 16m
  514,000/640,219 | G:508,717 P:5,283 | 137/s | ETA: 15m
  516,000/640,219 | G:510,665 P:5,335 | 137/s | ETA: 15m
  518,000/640,219 | G:512,411 P:5,589 | 137/s | ETA: 15m
  520,000/640,219 | G:514,308 P:5,692 | 137/s | ETA: 15m
  522,000/640,219 | G:516,152 P:5,848 | 137/s | ETA: 14m
  524,000/640,219 | G:518,090 P:5,910 | 137/s | ETA: 14m
  526,000/640,219 | G:519,997 P:6,003 | 137/s | ETA: 14m
  528,000/640,219 | G:521,841 P:6,159 | 137/s | ETA: 14m
  530,000/640,219 | G:523,784 P:6,216 | 137/s | ETA: 13m
  532,000/640,219 | G:525,650 P:6,350 | 137/s | ETA: 13m
  534,000/640,219 | G:527,516 P:6,484 | 137/s | ETA: 13m
  536,000/640,219 | G:529,457 P:6,543 | 138/s | ETA: 13m
  538,000/640,219 | G:531,299 P:6,701 | 138/s | ETA: 12m
  540,000/640,219 | G:533,180 P:6,820 | 138/s | ETA: 12m
  542,000/640,219 | G:535,146 P:6,854 | 138/s | ETA: 12m
  544,000/640,219 | G:537,123 P:6,877 | 138/s | ETA: 12m
  546,000/640,219 | G:539,075 P:6,925 | 138/s | ETA: 11m
  548,000/640,219 | G:541,029 P:6,971 | 138/s | ETA: 11m
  550,000/640,219 | G:542,980 P:7,020 | 139/s | ETA: 11m
  552,000/640,219 | G:544,951 P:7,049 | 139/s | ETA: 11m
  554,000/640,219 | G:546,918 P:7,082 | 139/s | ETA: 10m
  556,000/640,219 | G:548,816 P:7,184 | 139/s | ETA: 10m
  558,000/640,219 | G:550,800 P:7,200 | 139/s | ETA: 10m
  560,000/640,219 | G:552,757 P:7,243 | 139/s | ETA: 10m
  562,000/640,219 | G:554,690 P:7,310 | 134/s | ETA: 10m
  564,000/640,219 | G:556,676 P:7,324 | 135/s | ETA: 9m
  566,000/640,219 | G:558,674 P:7,326 | 135/s | ETA: 9m
