  190,000/642,663 | G:189,232 P:768 | 166/s | ETA: 45m
  192,000/642,663 | G:191,230 P:770 | 166/s | ETA: 45m
  194,000/642,663 | G:193,230 P:770 | 166/s | ETA: 45m
  196,000/642,663 | G:195,227 P:773 | 166/s | ETA: 45m
  198,000/642,663 | G:197,213 P:787 | 166/s | ETA: 45m
  200,000/642,663 | G:199,197 P:803 | 166/s | ETA: 44m
  202,000/642,663 | G:201,182 P:818 | 166/s | ETA: 44m
  204,000/642,663 | G:203,172 P:828 | 166/s | ETA: 44m
  206,000/642,663 | G:205,168 P:832 | 166/s | ETA: 44m
  208,000/642,663 | G:207,162 P:838 | 166/s | ETA: 44m
  210,000/642,663 | G:209,154 P:846 | 166/s | ETA: 43m
  212,000/642,663 | G:211,151 P:849 | 166/s | ETA: 43m
  214,000/642,663 | G:213,151 P:849 | 166/s | ETA: 43m
  216,000/642,663 | G:215,140 P:860 | 159/s | ETA: 45m
  218,000/642,663 | G:217,140 P:860 | 159/s | ETA: 44m
  220,000/642,663 | G:219,137 P:863 | 156/s | ETA: 45m
  222,000/642,663 | G:221,134 P:866 | 156/s | ETA: 45m
  224,000/642,663 | G:223,132 P:868 | 156/s | ETA: 45m
  226,000/642,663 | G:225,130 P:870 | 155/s | ETA: 45m
  228,000/642,663 | G:227,116 P:884 | 156/s | ETA: 44m
  230,000/642,663 | G:229,107 P:893 | 156/s | ETA: 44m
  232,000/642,663 | G:231,105 P:895 | 156/s | ETA: 44m
  234,000/642,663 | G:233,102 P:898 | 156/s | ETA: 44m
  236,000/642,663 | G:235,100 P:900 | 156/s | ETA: 43m
  238,000/642,663 | G:237,096 P:904 | 156/s | ETA: 43m
  240,000/642,663 | G:239,095 P:905 | 156/s | ETA: 43m
  242,000/642,663 | G:241,094 P:906 | 156/s | ETA: 43m
  244,000/642,663 | G:243,092 P:908 | 156/s | ETA: 43m
  246,000/642,663 | G:245,092 P:908 | 156/s | ETA: 42m
  248,000/642,663 | G:247,089 P:911 | 156/s | ETA: 42m
  250,000/642,663 | G:249,083 P:917 | 156/s | ETA: 42m
  252,000/642,663 | G:251,079 P:921 | 156/s | ETA: 42m
  254,000/642,663 | G:253,078 P:922 | 157/s | ETA: 41m
  256,000/642,663 | G:255,075 P:925 | 157/s | ETA: 41m
  258,000/642,663 | G:257,065 P:935 | 157/s | ETA: 41m
  260,000/642,663 | G:259,056 P:944 | 157/s | ETA: 41m
  262,000/642,663 | G:261,052 P:948 | 157/s | ETA: 40m
  264,000/642,663 | G:263,044 P:956 | 157/s | ETA: 40m
  266,000/642,663 | G:265,035 P:965 | 157/s | ETA: 40m
  268,000/642,663 | G:267,028 P:972 | 157/s | ETA: 40m
  270,000/642,663 | G:269,024 P:976 | 157/s | ETA: 40m
  272,000/642,663 | G:271,019 P:981 | 157/s | ETA: 39m
  274,000/642,663 | G:273,012 P:988 | 157/s | ETA: 39m
  276,000/642,663 | G:275,005 P:995 | 157/s | ETA: 39m
  278,000/642,663 | G:276,998 P:1,002 | 157/s | ETA: 39m
  280,000/642,663 | G:278,996 P:1,004 | 157/s | ETA: 38m
  282,000/642,663 | G:280,991 P:1,009 | 158/s | ETA: 38m
  284,000/642,663 | G:282,990 P:1,010 | 158/s | ETA: 38m
  286,000/642,663 | G:284,989 P:1,011 | 158/s | ETA: 38m
  288,000/642,663 | G:286,985 P:1,015 | 158/s | ETA: 37m
  290,000/642,663 | G:288,979 P:1,021 | 158/s | ETA: 37m
  292,000/642,663 | G:290,977 P:1,023 | 158/s | ETA: 37m
  294,000/642,663 | G:292,968 P:1,032 | 158/s | ETA: 37m
  296,000/642,663 | G:294,958 P:1,042 | 158/s | ETA: 37m
  298,000/642,663 | G:296,956 P:1,044 | 158/s | ETA: 36m
  300,000/642,663 | G:298,951 P:1,049 | 158/s | ETA: 36m
  302,000/642,663 | G:300,942 P:1,058 | 158/s | ETA: 36m
  304,000/642,663 | G:302,938 P:1,062 | 158/s | ETA: 36m
  306,000/642,663 | G:304,924 P:1,076 | 158/s | ETA: 35m
  308,000/642,663 | G:306,916 P:1,084 | 158/s | ETA: 35m
  310,000/642,663 | G:308,908 P:1,092 | 158/s | ETA: 35m
  312,000/642,663 | G:310,907 P:1,093 | 158/s | ETA: 35m
  314,000/642,663 | G:312,902 P:1,098 | 158/s | ETA: 35m
  316,000/642,663 | G:314,901 P:1,099 | 158/s | ETA: 34m
  318,000/642,663 | G:316,897 P:1,103 | 158/s | ETA: 34m
  320,000/642,663 | G:318,894 P:1,106 | 159/s | ETA: 34m
  322,000/642,663 | G:320,887 P:1,113 | 159/s | ETA: 34m
  324,000/642,663 | G:322,879 P:1,121 | 159/s | ETA: 33m
  326,000/642,663 | G:324,877 P:1,123 | 159/s | ETA: 33m
  328,000/642,663 | G:326,865 P:1,135 | 159/s | ETA: 33m
  330,000/642,663 | G:328,861 P:1,139 | 159/s | ETA: 33m
  332,000/642,663 | G:330,852 P:1,148 | 159/s | ETA: 33m
  334,000/642,663 | G:332,844 P:1,156 | 159/s | ETA: 32m
  336,000/642,663 | G:334,840 P:1,160 | 159/s | ETA: 32m
  338,000/642,663 | G:336,826 P:1,174 | 159/s | ETA: 32m
  340,000/642,663 | G:338,808 P:1,192 | 159/s | ETA: 32m
  342,000/642,663 | G:340,806 P:1,194 | 159/s | ETA: 32m
  344,000/642,663 | G:342,802 P:1,198 | 159/s | ETA: 31m
  346,000/642,663 | G:344,794 P:1,206 | 159/s | ETA: 31m
  348,000/642,663 | G:346,788 P:1,212 | 159/s | ETA: 31m
  350,000/642,663 | G:348,785 P:1,215 | 159/s | ETA: 31m
  352,000/642,663 | G:350,773 P:1,227 | 159/s | ETA: 30m
  354,000/642,663 | G:352,768 P:1,232 | 159/s | ETA: 30m
  356,000/642,663 | G:354,765 P:1,235 | 159/s | ETA: 30m
  358,000/642,663 | G:356,754 P:1,246 | 159/s | ETA: 30m
  360,000/642,663 | G:358,742 P:1,258 | 159/s | ETA: 30m
  362,000/642,663 | G:360,733 P:1,267 | 159/s | ETA: 29m
  364,000/642,663 | G:362,724 P:1,276 | 159/s | ETA: 29m
  366,000/642,663 | G:364,717 P:1,283 | 160/s | ETA: 29m
  368,000/642,663 | G:366,716 P:1,284 | 160/s | ETA: 29m
  370,000/642,663 | G:368,714 P:1,286 | 160/s | ETA: 28m
  372,000/642,663 | G:370,706 P:1,294 | 159/s | ETA: 28m
  374,000/642,663 | G:372,697 P:1,303 | 159/s | ETA: 28m
  376,000/642,663 | G:374,696 P:1,304 | 159/s | ETA: 28m
  378,000/642,663 | G:376,686 P:1,314 | 159/s | ETA: 28m
  380,000/642,663 | G:378,680 P:1,320 | 160/s | ETA: 27m
  382,000/642,663 | G:380,670 P:1,330 | 160/s | ETA: 27m
  384,000/642,663 | G:382,663 P:1,337 | 160/s | ETA: 27m
  386,000/642,663 | G:384,648 P:1,352 | 144/s | ETA: 30m
  388,000/642,663 | G:386,642 P:1,358 | 144/s | ETA: 29m
  390,000/642,663 | G:388,632 P:1,368 | 136/s | ETA: 31m
  392,000/642,663 | G:390,615 P:1,385 | 136/s | ETA: 31m
  394,000/642,663 | G:392,601 P:1,399 | 136/s | ETA: 30m
  396,000/642,663 | G:394,582 P:1,418 | 136/s | ETA: 30m
  398,000/642,663 | G:396,572 P:1,428 | 137/s | ETA: 30m
  400,000/642,663 | G:398,564 P:1,436 | 137/s | ETA: 30m
  402,000/642,663 | G:400,560 P:1,440 | 137/s | ETA: 29m
  404,000/642,663 | G:402,557 P:1,443 | 137/s | ETA: 29m
  406,000/642,663 | G:404,552 P:1,448 | 137/s | ETA: 29m
  408,000/642,663 | G:406,538 P:1,462 | 137/s | ETA: 28m
  410,000/642,663 | G:408,518 P:1,482 | 137/s | ETA: 28m
  412,000/642,663 | G:410,514 P:1,486 | 137/s | ETA: 28m
  414,000/642,663 | G:412,504 P:1,496 | 138/s | ETA: 28m
  416,000/642,663 | G:414,503 P:1,497 | 138/s | ETA: 27m
  418,000/642,663 | G:416,494 P:1,506 | 138/s | ETA: 27m
  420,000/642,663 | G:418,475 P:1,525 | 138/s | ETA: 27m
  422,000/642,663 | G:420,466 P:1,534 | 138/s | ETA: 27m
  424,000/642,663 | G:422,459 P:1,541 | 138/s | ETA: 26m
  426,000/642,663 | G:424,451 P:1,549 | 138/s | ETA: 26m
  428,000/642,663 | G:426,445 P:1,555 | 139/s | ETA: 26m
  430,000/642,663 | G:428,433 P:1,567 | 139/s | ETA: 26m
  432,000/642,663 | G:430,420 P:1,580 | 139/s | ETA: 25m
  434,000/642,663 | G:432,410 P:1,590 | 139/s | ETA: 25m
  436,000/642,663 | G:434,406 P:1,594 | 139/s | ETA: 25m
  438,000/642,663 | G:436,397 P:1,603 | 139/s | ETA: 25m
  440,000/642,663 | G:438,388 P:1,612 | 139/s | ETA: 24m
  442,000/642,663 | G:440,387 P:1,613 | 139/s | ETA: 24m
  444,000/642,663 | G:442,366 P:1,634 | 139/s | ETA: 24m
  446,000/642,663 | G:444,365 P:1,635 | 139/s | ETA: 23m
  448,000/642,663 | G:446,355 P:1,645 | 140/s | ETA: 23m
  450,000/642,663 | G:448,350 P:1,650 | 140/s | ETA: 23m
  452,000/642,663 | G:450,348 P:1,652 | 140/s | ETA: 23m
  454,000/642,663 | G:452,340 P:1,660 | 140/s | ETA: 22m
  456,000/642,663 | G:454,325 P:1,675 | 140/s | ETA: 22m
  458,000/642,663 | G:456,317 P:1,683 | 140/s | ETA: 22m
  460,000/642,663 | G:458,306 P:1,694 | 140/s | ETA: 22m
  462,000/642,663 | G:460,299 P:1,701 | 140/s | ETA: 21m
  464,000/642,663 | G:462,297 P:1,703 | 140/s | ETA: 21m
  466,000/642,663 | G:464,289 P:1,711 | 140/s | ETA: 21m
  468,000/642,663 | G:466,285 P:1,715 | 140/s | ETA: 21m
  470,000/642,663 | G:468,281 P:1,719 | 141/s | ETA: 20m
  472,000/642,663 | G:470,260 P:1,740 | 141/s | ETA: 20m
  474,000/642,663 | G:472,257 P:1,743 | 141/s | ETA: 20m
  476,000/642,663 | G:474,254 P:1,746 | 141/s | ETA: 20m
  478,000/642,663 | G:476,248 P:1,752 | 141/s | ETA: 19m
  480,000/642,663 | G:478,242 P:1,758 | 141/s | ETA: 19m
  482,000/642,663 | G:480,235 P:1,765 | 141/s | ETA: 19m
  484,000/642,663 | G:482,231 P:1,769 | 141/s | ETA: 19m
  486,000/642,663 | G:484,220 P:1,780 | 141/s | ETA: 18m
  488,000/642,663 | G:486,206 P:1,794 | 142/s | ETA: 18m
  490,000/642,663 | G:488,183 P:1,817 | 142/s | ETA: 18m
  492,000/642,663 | G:490,155 P:1,845 | 142/s | ETA: 18m
  494,000/642,663 | G:492,140 P:1,860 | 142/s | ETA: 17m
  496,000/642,663 | G:494,126 P:1,874 | 142/s | ETA: 17m
  498,000/642,663 | G:496,112 P:1,888 | 142/s | ETA: 17m
  500,000/642,663 | G:498,105 P:1,895 | 142/s | ETA: 17m
  502,000/642,663 | G:500,101 P:1,899 | 142/s | ETA: 16m
  504,000/642,663 | G:502,095 P:1,905 | 142/s | ETA: 16m
  506,000/642,663 | G:504,080 P:1,920 | 142/s | ETA: 16m
  508,000/642,663 | G:506,072 P:1,928 | 142/s | ETA: 16m
  510,000/642,663 | G:508,066 P:1,934 | 143/s | ETA: 16m
  512,000/642,663 | G:510,064 P:1,936 | 143/s | ETA: 15m
  514,000/642,663 | G:512,059 P:1,941 | 143/s | ETA: 15m
  516,000/642,663 | G:514,049 P:1,951 | 143/s | ETA: 15m
  518,000/642,663 | G:516,040 P:1,960 | 143/s | ETA: 15m
  520,000/642,663 | G:518,030 P:1,970 | 143/s | ETA: 14m
  522,000/642,663 | G:520,027 P:1,973 | 143/s | ETA: 14m
  524,000/642,663 | G:522,018 P:1,982 | 143/s | ETA: 14m
  526,000/642,663 | G:524,010 P:1,990 | 143/s | ETA: 14m
  528,000/642,663 | G:526,001 P:1,999 | 143/s | ETA: 13m
  530,000/642,663 | G:527,988 P:2,012 | 143/s | ETA: 13m
  532,000/642,663 | G:529,978 P:2,022 | 144/s | ETA: 13m
  534,000/642,663 | G:531,970 P:2,030 | 144/s | ETA: 13m
  536,000/642,663 | G:533,964 P:2,036 | 144/s | ETA: 12m
  538,000/642,663 | G:535,954 P:2,046 | 144/s | ETA: 12m
  540,000/642,663 | G:537,946 P:2,054 | 144/s | ETA: 12m
  542,000/642,663 | G:539,942 P:2,058 | 144/s | ETA: 12m
  544,000/642,663 | G:541,938 P:2,062 | 144/s | ETA: 11m
  546,000/642,663 | G:543,932 P:2,068 | 144/s | ETA: 11m
  548,000/642,663 | G:545,924 P:2,076 | 144/s | ETA: 11m
  550,000/642,663 | G:547,915 P:2,085 | 144/s | ETA: 11m
  552,000/642,663 | G:549,907 P:2,093 | 144/s | ETA: 10m
  554,000/642,663 | G:551,899 P:2,101 | 144/s | ETA: 10m
  556,000/642,663 | G:553,888 P:2,112 | 145/s | ETA: 10m
  558,000/642,663 | G:555,879 P:2,121 | 145/s | ETA: 10m
  560,000/642,663 | G:557,875 P:2,125 | 145/s | ETA: 10m
  562,000/642,663 | G:559,862 P:2,138 | 145/s | ETA: 9m
  564,000/642,663 | G:561,854 P:2,146 | 145/s | ETA: 9m
  566,000/642,663 | G:563,849 P:2,151 | 145/s | ETA: 9m
  568,000/642,663 | G:565,843 P:2,157 | 145/s | ETA: 9m
  570,000/642,663 | G:567,841 P:2,159 | 145/s | ETA: 8m
  572,000/642,663 | G:569,837 P:2,163 | 145/s | ETA: 8m
  574,000/642,663 | G:571,825 P:2,175 | 145/s | ETA: 8m
  576,000/642,663 | G:573,814 P:2,186 | 145/s | ETA: 8m
  578,000/642,663 | G:575,805 P:2,195 | 145/s | ETA: 7m
  580,000/642,663 | G:577,796 P:2,204 | 145/s | ETA: 7m
  582,000/642,663 | G:579,793 P:2,207 | 145/s | ETA: 7m
  584,000/642,663 | G:581,788 P:2,212 | 144/s | ETA: 7m
  586,000/642,663 | G:583,779 P:2,221 | 145/s | ETA: 7m
  588,000/642,663 | G:585,777 P:2,223 | 145/s | ETA: 6m
  590,000/642,663 | G:587,759 P:2,241 | 145/s | ETA: 6m
  592,000/642,663 | G:589,753 P:2,247 | 145/s | ETA: 6m
  594,000/642,663 | G:591,748 P:2,252 | 145/s | ETA: 6m
  596,000/642,663 | G:593,740 P:2,260 | 145/s | ETA: 5m
  598,000/642,663 | G:595,722 P:2,278 | 145/s | ETA: 5m
  600,000/642,663 | G:597,710 P:2,290 | 145/s | ETA: 5m
  602,000/642,663 | G:599,704 P:2,296 | 145/s | ETA: 5m
  604,000/642,663 | G:601,699 P:2,301 | 145/s | ETA: 4m
  606,000/642,663 | G:603,692 P:2,308 | 145/s | ETA: 4m
  608,000/642,663 | G:605,685 P:2,315 | 145/s | ETA: 4m
  610,000/642,663 | G:607,679 P:2,321 | 145/s | ETA: 4m
  612,000/642,663 | G:609,672 P:2,328 | 145/s | ETA: 4m
  614,000/642,663 | G:611,671 P:2,329 | 145/s | ETA: 3m
  616,000/642,663 | G:613,670 P:2,330 | 146/s | ETA: 3m
  618,000/642,663 | G:615,657 P:2,343 | 146/s | ETA: 3m
  620,000/642,663 | G:617,651 P:2,349 | 146/s | ETA: 3m
  622,000/642,663 | G:619,647 P:2,353 | 146/s | ETA: 2m
  624,000/642,663 | G:621,638 P:2,362 | 146/s | ETA: 2m
  626,000/642,663 | G:623,630 P:2,370 | 146/s | ETA: 2m
  628,000/642,663 | G:625,624 P:2,376 | 146/s | ETA: 2m
  630,000/642,663 | G:627,611 P:2,389 | 146/s | ETA: 1m
  632,000/642,663 | G:629,605 P:2,395 | 146/s | ETA: 1m
  634,000/642,663 | G:631,595 P:2,405 | 146/s | ETA: 1m
  636,000/642,663 | G:633,587 P:2,413 | 146/s | ETA: 1m
  638,000/642,663 | G:635,579 P:2,421 | 146/s | ETA: 1m
  640,000/642,663 | G:637,569 P:2,431 | 146/s | ETA: 0m
  642,000/642,663 | G:639,560 P:2,440 | 146/s | ETA: 0m

Done! 642,663 | Genuine: 640,219 | Parked: 2,444
Time: 4390.9s | Rate: 146/s
filtered_genuine.txt (640,219 domains)
filtered_parked.txt (2,444 domains)
